Media,Alamat Website,Perusahaan,Akun dibuat
NOA,https://noa.co.id,PT. Media Noa Indonesia,"January 30, 2025, 16:02"
Kanal Inspirasi,https://www.kanalinspirasi.com,PT. Media Kanal Inspirasi,"February 3, 2025, 15:25"
Mita Berita,https://mitraberita.net/,PT. Media Mita Berita,"February 3, 2025, 15:30"
Seputar Aceh,https://seputaraceh.id,PT. PAT Aceh Sarana Informasi,"February 3, 2025, 15:39"
Kabar Tamiang,https://kabartamiang.com,PT. Media Timur Jaya,"February 3, 2025, 15:40"
Acehreal,https://acehreal.com/,PT. Syakir Karya Utama,"February 3, 2025, 15:52"
Habapublik,https://habapublik.com,PT. Media Haba Publik,"February 3, 2025, 16:00"
KSINews,https://ksinews.id/,PT. KSI Informasi NAD,"February 3, 2025, 16:05"
Waspada Aceh,https://waspadaaceh.com,PT. Waspada Aceh Indonesia,"February 3, 2025, 16:24"
Rakyat Aceh Online,https://harianrakyataceh.com,PT. Rakyat Aceh Online,"February 3, 2025, 16:29"
Antero Aceh,https://anteroaceh.com,PT. Aceh Cipta Media,"February 3, 2025, 16:33"
Newsofaceh,https://newsofaceh.com,PT. Newsofaceh Media Informasi,"February 3, 2025, 16:38"
KOALISI,https://koalisi.co,PT. Media Siber Koalisi,"February 3, 2025, 16:44"
Gananews,https://gananews.com,PT. Gana Sejahtera Global,"February 3, 2025, 16:52"
Bratainews,https://Bratainews.co,PT. Berita Aceh Indonesia,"February 3, 2025, 17:08"
jbnn,https://jbnn.net/,PT. Journal Media Mandiri,"February 4, 2025, 08:32"
acehindependent,https://acehindependent.com,PT. Global Berkah Multimedia,"February 4, 2025, 08:35"
Nukilan,https://nukilan.id/,PT. Nukilan Jaya Mandiri,"February 4, 2025, 08:40"
Dialeksis,www.dialeksis.com,PT. Dialeksis Media Jaya,"February 4, 2025, 08:43"
Media Nanggroe,https://mediananggroe.com,PT. Media Nanggroe Bersama,"February 4, 2025, 08:47"
fanews,https://fanews.id/,PT. Foredi Akzara Media,"February 4, 2025, 08:51"
acehimage,https://www.acehimage.com,PT. Media Nusantara Corp,"February 4, 2025, 08:55"
Harian Daerah,https://hariandaerah.com/,PT. Media Harian Daerah,"February 4, 2025, 08:58"
Aceh Herald,https://acehherald.com,PT. Herald Pratama Kreatif,"February 4, 2025, 09:02"
wartanad,https://www.Wartanad.id,Warta Sava Multimedia,"February 4, 2025, 09:08"
kontrasaceh,https://kontrasaceh.net,PT. Atra Agaisha Media Kontras,"February 4, 2025, 09:12"
Kontenaktual,https://kontenaktual.net,PT. Konten Aktual Media,"February 4, 2025, 09:18"
atjehlifenet,https://atjehlifenet.com,PT. ALN MEDIA PERS GRUP,"February 4, 2025, 09:28"
orinews,https://orinews.id/,PT. Munara Original Media,"February 4, 2025, 09:32"
Aceh Inspirasi,www.acehinspirasi.com,PT. Aceh Inspirasi Media,"February 4, 2025, 09:46"
acehbisnis,https://www.acehbisnis.com,PT. Khanza Utama Aceh Bisnis,"February 4, 2025, 09:50"
Berita Rakyat Aceh,https://beritarakyataceh.com,PT. Berita Rakyat Aceh,"February 4, 2025, 09:55"
Sinar Aceh,www.sinaraceh.com,PT. Sinar Aceh Nasional Multimedia,"February 4, 2025, 10:00"
Atjeh Terkini,Atjehterkini.id,PT. Suara Atjeh Terkini,"February 4, 2025, 10:05"
rmolaceh,www.rmolaceh.id,PT. Republik Media Utama,"February 4, 2025, 10:10"
Bidikindonesia,www.bidikindonesia.com,PT. Media Bidik Indonesia Group,"February 4, 2025, 10:16"
LENSAPOST,https://lensapost.net/,PT. LENSA DIGITAL TRANSFORMASI,"February 4, 2025, 10:20"
